,States,MW
13,Maharashtra,522.1
5,UP,471.8
11,Gujarat,400.8
20,Tamil Nadu,365.4
1,Punjab,300.0
3,Rajasthan,278.0
18,Karnataka,273.3
12,MP,272.3
17,Telangana,256.2
2,Haryana,237.2
16,Andhra Pradesh,205.1
25,West Bengal,198.5
4,Delhi,147.1
22,Bihar,121.4
24,Odisha,113.0
10,Chhattisgarh,111.6
19,Kerala,89.4
8,J&K,54.2
6,Uttarakhand,53.2
28,Assam,38.0
7,HP,34.0
23,Jharkhand,28.9
15,DNH,19.5
14,Goa,14.0
21,Pondy,9.7
9,Chandigarh,7.4
30,Meghalaya,6.9
33,Tripura,6.6
29,Manipur,3.2
26,Sikkim,2.8
27,Arunachal Pradesh,2.7
32,Nagaland,2.7
31,Mizoram,2.2
